"Acla da Fontauna, center sport",707.500,173.000,1196
"Aclens, collège",528.825,157.750,450
Acquacalda,707.000,155.000,1756
Acquarossa-Comprovasco,715.225,145.970,538
"Acquarossa, Casa Anziani",715.253,145.589,523
"Acquarossa, Ospedale",715.374,145.526,513
"Acquarossa, Scuole",715.000,146.375,608
Adelboden Bergläger (Silleren),607.263,146.388,1486
Adelboden Dorf (Silleren),609.060,148.790,1351
Adelboden Geils (Hahnenmoos),605.692,145.072,1707
Adelboden Geils (Laveygrat),605.760,145.130,1712
Adelboden Geils (Luegli),605.760,145.000,1707
Adelboden Oey (Sillerenbahn),609.351,148.515,1264
"Adelboden, Altersheim",609.809,149.597,1343
"Adelboden, Ausserschwand Schul",610.389,150.428,1316
"Adelboden, Bergläger",607.263,146.388,1486
"Adelboden, Boden Wendeplatz",609.226,147.840,1296
"Adelboden, Bollersgraben",609.294,147.400,1299
"Adelboden, Brügge",609.496,147.227,1299
"Adelboden, Chäli",609.512,145.512,1370
"Adelboden, Dorf Sillerenbahn",608.987,148.777,1356
"Adelboden, Dürrenegge",609.625,148.517,1257
"Adelboden, Falkiport",609.458,148.130,1288
"Adelboden, Geils",605.745,145.083,1707
"Adelboden, Gilbach, des Alpes",607.708,147.575,1433
"Adelboden, Gulli",607.076,148.614,1475
"Adelboden, Heinrichseggen",608.741,148.464,1370
"Adelboden, Hirschen",611.031,150.411,1166
"Adelboden, Hirzboden",611.210,151.140,1169
"Adelboden, Hotel Alpina",609.839,148.150,1280
"Adelboden, Janz Team",609.893,149.706,1340
"Adelboden, Jugendh. Heilsarmee",607.796,148.259,1447
"Adelboden, Kreuzgasse",609.427,147.790,1295
"Adelboden, Margeli",610.205,149.489,1205
"Adelboden, Mineralquelle",609.320,148.610,1282
"Adelboden, Mühleport",609.466,148.835,1300
"Adelboden, Neuweg",610.561,149.991,1180
"Adelboden, Oey",609.770,148.790,1250
"Adelboden, Post",609.340,149.160,1356
"Adelboden, Rainweg",610.309,150.291,1328
"Adelboden, Raufmatte",609.490,146.583,1321
"Adelboden, Schermtanne",606.739,148.674,1489
"Adelboden, Schlegeli Crystal",609.596,149.310,1349
"Adelboden, Schlegeli Hari",609.766,149.473,1344
"Adelboden, Schreiner Bärtschi",607.342,148.455,1458
"Adelboden, Schönbühl",610.148,150.040,1333
"Adelboden, Unter dem Birg",609.834,145.335,1406
"Adelboden, Unter der Fluh",608.270,148.138,1367
"Adelboden, Wegscheide",608.559,148.339,1380
"Adelboden, Zürcherhaus",607.594,148.402,1454
"Adelhausen, Adler",624.270,273.493,452
"Adelhausen, Dinkelberger Hof",624.234,273.669,452
"Adelhausen, Hüsingerstrasse",624.294,273.957,449
Adelrain (Abzw),615.756,157.455,787
"Adetswil, Frowiesstrasse",706.216,244.022,696
"Adetswil, Sunneberg",705.978,244.077,735
"Adligenswil, Blatte",670.567,213.678,542
"Adligenswil, Chliäbnet",671.579,214.031,547
"Adligenswil, Dorf",670.275,213.687,537
"Adligenswil, Gämpi",670.255,213.298,550
"Adligenswil, Luegisland",669.710,212.941,532
"Adligenswil, Rigiblick",670.180,213.159,550
"Adligenswil, Sagi",671.367,213.749,535
"Adligenswil, Stuben",669.238,213.916,533
"Adligenswil, Talrain",670.017,212.996,539
"Adligenswil, Widspüel",669.975,214.025,540
Adlikon b. Andelfingen,694.330,270.969,450
"Adlikon b. R., Dorf",677.519,255.771,440
"Adlikon b. R., Leematten",677.557,256.263,451
"Adlikon b. R., Pächterried",677.792,255.523,436
"Adlikon b. R., Sonnhalde",677.192,256.194,443
"Adlikon b. R., Sonnhalde West",676.942,256.335,443
"Adlikon b. R., Ziegelhütte",677.483,256.268,443
Adliswil,682.079,240.726,452
Adliswil (Luftseilbahnstation),681.767,240.818,452
"Adliswil, Ahornweg",682.842,241.458,479
"Adliswil, Badstrasse",682.764,240.885,457
"Adliswil, Bahnhof",682.101,240.685,451
"Adliswil, Baldernstrasse",681.420,241.648,487
"Adliswil, Baumgartenweg",682.204,240.437,450
"Adliswil, Bodenacker",681.564,241.183,496
"Adliswil, Büchel",681.941,239.492,496
"Adliswil, Eichenweg",682.787,241.592,475
"Adliswil, Feldblumenstrasse",681.698,240.975,493
"Adliswil, Friedhof",682.501,240.129,502
"Adliswil, Grüt",682.424,241.822,467
"Adliswil, Hofackerstrasse",682.952,241.053,475
"Adliswil, Krone",682.355,240.801,449
